location,week_day,date_all,date_day,date_month,date_year,date_hour,date_minut,video_original_file_name,mapping_key,video_file_name
valby,monday,13-12-2021 12:12,13,12,2021,12,12,FILE0042,Valby_13-12-2021/FILE0042.MP4,valby_13-12-2021_12.12_FILE0042.MP4
valby,monday,13-12-2021 12:20,13,12,2021,12,20,FILE0043,Valby_13-12-2021/FILE0043.MP4,valby_13-12-2021_12.20_FILE0043.MP4
valby,monday,13-12-2021 12:28,13,12,2021,12,28,FILE0044,Valby_13-12-2021/FILE0044.MP4,valby_13-12-2021_12.28_FILE0044.MP4
valby,monday,13-12-2021 12:36,13,12,2021,12,36,FILE0045,Valby_13-12-2021/FILE0045.MP4,valby_13-12-2021_12.36_FILE0045.MP4
valby,monday,13-12-2021 12:44,13,12,2021,12,44,FILE0046,Valby_13-12-2021/FILE0046.MP4,valby_13-12-2021_12.44_FILE0046.MP4
valby,monday,13-12-2021 12:52,13,12,2021,12,52,FILE0047,Valby_13-12-2021/FILE0047.MP4,valby_13-12-2021_12.52_FILE0047.MP4
valby,monday,13-12-2021 13:00,13,12,2021,13,0,FILE0048,Valby_13-12-2021/FILE0048.MP4,valby_13-12-2021_13.00_FILE0048.MP4
valby,monday,13-12-2021 13:08,13,12,2021,13,8,FILE0049,Valby_13-12-2021/FILE0049.MP4,valby_13-12-2021_13.08_FILE0049.MP4
valby,monday,13-12-2021 13:16,13,12,2021,13,16,FILE0050,Valby_13-12-2021/FILE0050.MP4,valby_13-12-2021_13.16_FILE0050.MP4
valby,monday,13-12-2021 13:24,13,12,2021,13,24,FILE0051,Valby_13-12-2021/FILE0051.MP4,valby_13-12-2021_13.24_FILE0051.MP4
valby,monday,13-12-2021 13:32,13,12,2021,13,32,FILE0052,Valby_13-12-2021/FILE0052.MP4,valby_13-12-2021_13.32_FILE0052.MP4
valby,monday,13-12-2021 13:40,13,12,2021,13,40,FILE0053,Valby_13-12-2021/FILE0053.MP4,valby_13-12-2021_13.40_FILE0053.MP4
valby,monday,13-12-2021 13:48,13,12,2021,13,48,FILE0054,Valby_13-12-2021/FILE0054.MP4,valby_13-12-2021_13.48_FILE0054.MP4
valby,monday,13-12-2021 13:56,13,12,2021,13,56,FILE0055,Valby_13-12-2021/FILE0055.MP4,valby_13-12-2021_13.56_FILE0055.MP4
valby,monday,13-12-2021 14:04,13,12,2021,14,4,FILE0056,Valby_13-12-2021/FILE0056.MP4,valby_13-12-2021_14.04_FILE0056.MP4
valby,monday,13-12-2021 14:12,13,12,2021,14,12,FILE0057,Valby_13-12-2021/FILE0057.MP4,valby_13-12-2021_14.12_FILE0057.MP4
valby,monday,13-12-2021 14:20,13,12,2021,14,20,FILE0058,Valby_13-12-2021/FILE0058.MP4,valby_13-12-2021_14.20_FILE0058.MP4
valby,monday,13-12-2021 14:28,13,12,2021,14,28,FILE0059,Valby_13-12-2021/FILE0059.MP4,valby_13-12-2021_14.28_FILE0059.MP4
valby,monday,13-12-2021 14:36,13,12,2021,14,36,FILE0060,Valby_13-12-2021/FILE0060.MP4,valby_13-12-2021_14.36_FILE0060.MP4
valby,monday,13-12-2021 14:44,13,12,2021,14,44,FILE0061,Valby_13-12-2021/FILE0061.MP4,valby_13-12-2021_14.44_FILE0061.MP4
valby,monday,13-12-2021 14:52,13,12,2021,14,52,FILE0062,Valby_13-12-2021/FILE0062.MP4,valby_13-12-2021_14.52_FILE0062.MP4
valby,monday,13-12-2021 15:00,13,12,2021,15,0,FILE0063,Valby_13-12-2021/FILE0063.MP4,valby_13-12-2021_15.00_FILE0063.MP4
valby,monday,13-12-2021 15:08,13,12,2021,15,8,FILE0064,Valby_13-12-2021/FILE0064.MP4,valby_13-12-2021_15.08_FILE0064.MP4
valby,monday,13-12-2021 15:16,13,12,2021,15,16,FILE0065,Valby_13-12-2021/FILE0065.MP4,valby_13-12-2021_15.16_FILE0065.MP4
valby,monday,13-12-2021 15:24,13,12,2021,15,24,FILE0066,Valby_13-12-2021/FILE0066.MP4,valby_13-12-2021_15.24_FILE0066.MP4
